"","id","status_group"
"118",16631,"non functional"
"119",43162,"functional"
"120",44492,"non functional"
"121",38884,"non functional"
"122",13690,"functional"
"123",60335,"functional"
"124",31856,"functional"
"125",67891,"functional"
"126",25564,"functional"
"127",55293,"functional"
"128",31866,"functional"
"129",71178,"functional"
"130",60279,"functional"
"131",28615,"functional"
"132",8744,"functional"
"133",48308,"non functional"
"134",49626,"non functional"
"135",38098,"functional"
"136",30309,"functional needs repair"
"137",8015,"functional"
"138",3496,"functional needs repair"
"139",56971,"functional"
"140",68616,"functional"
"141",8646,"functional"
"142",74104,"non functional"
"143",37501,"non functional"
"144",33001,"non functional"
"145",69202,"functional"
"146",68409,"functional"
"147",51847,"non functional"
"148",55647,"non functional"
"149",17923,"non functional"
"150",71743,"non functional"
"151",51539,"functional"
"152",73819,"functional"
"153",66881,"functional"
"154",58768,"functional"
"155",2648,"non functional"
"156",68933,"functional"
"157",12427,"functional"
"158",16633,"non functional"
"159",24123,"functional"
"160",58551,"non functional"
"161",17132,"functional"
"162",3027,"non functional"
"163",2651,"non functional"
"164",25998,"non functional"
"165",63400,"functional"
"166",50028,"non functional"
"167",67897,"non functional"
"168",21425,NA
"169",71756,"functional"
"170",16862,"functional"
"171",15420,"non functional"
"172",47784,"functional"
"173",712,"functional"
"174",54368,"non functional"
"175",2866,"functional"
"176",51130,"functional needs repair"
"177",27993,"functional"
"178",21621,"non functional"
"179",66038,"functional"
"180",42182,"functional"
"181",17694,"non functional"
"182",57759,"functional"
"183",47978,"functional"
"184",52359,"functional"
"185",69656,"non functional"
"186",24086,"functional"
"187",43579,"functional"
"188",43284,"non functional"
"189",2877,"non functional"
"190",21171,"functional"
"191",40982,"functional"
"192",48396,"functional"
"193",13323,"functional needs repair"
"194",28467,"functional"
"195",2768,"functional"
"196",73593,"functional"
"197",65164,"functional"
"198",69976,"non functional"
"199",52145,"functional needs repair"
"200",49259,"non functional"
"201",23542,"functional"
"202",69848,"non functional"
"203",9305,"functional"
"204",14359,"functional"
"205",28925,"non functional"
"206",21243,"non functional"
"207",10616,"non functional"
"208",73667,"functional"
"209",20566,"functional"
"210",63711,"functional"
"211",72840,"functional"
"212",31651,"functional"
"213",3782,"functional"
"214",6799,"functional"
"215",21402,"functional"
"216",35390,"functional"
"217",12636,NA
"218",36887,"functional"
"219",20086,"non functional"
"220",5634,"functional"
"221",48029,"functional"
"222",29927,"functional"
"223",2930,"functional"
"224",41800,"functional"
"225",68349,"non functional"
"226",61678,"non functional"
"227",30270,"functional"
"228",4678,"functional"
"229",9392,"non functional"
"230",20735,"functional"
"231",49300,"non functional"
"232",70339,"functional"
"233",25572,"functional"
"234",61445,"functional"
"235",32190,"functional"
"236",39189,"functional"
"237",14853,"functional needs repair"
"238",52207,"functional"
"239",48035,"functional"
"240",73122,"functional"
"241",16352,"functional"
"242",42721,"functional"
"243",15116,"functional"
"244",7837,"functional"
"245",56907,"functional"
"246",46382,"functional"
"247",64521,"non functional"
"248",67362,"functional"
"249",61861,"functional"
"250",72139,"functional"
"251",3398,"functional"
"252",62911,"functional"
"253",48152,"non functional"
"254",48001,"functional"
"255",64118,"functional"
"256",65793,"functional"
"257",61557,"functional"
"258",32352,"functional"
"259",1830,"functional"
"260",50553,"functional"
"261",51961,"functional"
"262",38481,"functional"
"263",48371,"functional"
"264",56540,"non functional"
"265",18142,"functional"
"266",72934,"non functional"
"267",39300,"non functional"
"268",40115,"non functional"
"269",3793,"functional"
"270",59318,"functional"
"271",68070,"functional"
"272",67527,"non functional"
"273",34898,"functional"
"274",26592,"functional"
"275",67682,"functional"
"276",52394,"functional"
"277",32218,"functional"
"278",69045,"functional"
"279",12808,"functional"
"280",49250,"functional"
"281",64126,"functional"
"282",64903,"functional"
"283",35165,"functional"
"284",9543,"functional"
"285",64635,"functional"
"286",47929,"functional"
"287",28329,"functional"
"288",67954,"functional"
"289",16575,"non functional"
"290",16612,"functional"
"291",27003,"functional"
"292",73324,"non functional"
"293",7043,"non functional"
"294",22174,"functional"
"295",19450,"functional"
"296",35825,"functional"
"297",9854,"non functional"
"298",23254,"functional"
"299",72170,"functional"
"300",61999,"non functional"
"301",70354,"non functional"
"302",6877,NA
"303",47323,"non functional"
"304",48624,"non functional"
"305",6148,"functional"
"306",59698,"non functional"
"307",67268,"functional"
"308",59174,"non functional"
"309",68916,"non functional"
"310",28358,"functional"
"311",57453,"functional"
"312",71952,"non functional"
"313",1761,"functional"
"314",15234,"functional"
"315",60021,"functional"
"316",22567,"functional"
"317",17695,"non functional"
"318",19872,"functional"
"319",22828,"functional"
"320",34896,"functional"
"321",35570,"functional"
"322",41325,"non functional"
"323",8831,"functional"
"324",5345,"functional"
"325",19379,"non functional"
"326",5514,"functional"
"327",61654,"functional"
"328",40482,"non functional"
"329",43123,"functional"
"330",40492,"non functional"
"331",68733,"functional"
"332",3952,"functional"
"333",70288,"non functional"
"334",30085,"functional"
"335",65837,"non functional"
"336",34752,"functional"
"337",2465,"functional"
"338",11466,"non functional"
"339",22313,"functional"
"340",30179,"non functional"
"341",23505,"functional"
"342",48424,"functional"
"343",11150,"functional"
"344",70368,NA
"345",26935,"non functional"
"346",5919,"non functional"
"347",2134,"functional"
"348",16652,"functional"
"349",59302,"functional"
"350",24210,"functional needs repair"
"351",6211,"functional"
"352",19743,"functional"
"353",10760,"functional"
"354",48104,"functional"
"355",50171,"non functional"
"356",63137,"functional"
"357",38301,"functional needs repair"
"358",10948,"functional"
"359",33232,"functional"
"360",61415,"functional"
"361",69131,"functional"
"362",73555,"functional"
"363",46610,"functional"
"364",20922,"non functional"
"365",55743,"functional"
"366",19341,"functional"
"367",9588,"functional"
"368",3293,"functional"
"369",55490,"functional"
"370",67678,"functional"
"371",36119,"non functional"
"372",62775,"non functional"
"373",68162,"non functional"
"374",66128,"non functional"
"375",12036,"functional"
"376",15739,"functional"
"377",57048,"functional"
"378",15825,"non functional"
"379",45590,"functional"
"380",18055,"non functional"
"381",34073,"functional"
"382",14860,"functional"
"383",53713,"functional"
"384",69327,"non functional"
"385",60169,"functional"
"386",26798,"functional"
"387",37122,"functional"
"388",45156,"functional"
"389",22874,"non functional"
"390",58774,"non functional"
"391",40092,"non functional"
"392",17487,"functional"
"393",35886,"non functional"
"394",49892,"functional"
"395",66338,"functional"
"396",35481,"non functional"
"397",4135,"functional"
"398",54191,"functional"
"399",31349,"functional"
"400",72271,"functional"
"401",48863,"functional"
"402",13758,"non functional"
"403",33443,"non functional"
"404",12003,"functional"
"405",10845,"functional"
"406",47,"non functional"
"407",70492,"functional"
"408",11346,"non functional"
"409",20126,"functional"
"410",51000,"non functional"
"411",64505,"functional"
"412",58329,"functional"
"413",6311,"non functional"
"414",22286,"functional"
"415",35013,"functional"
"416",6274,"functional"
"417",30904,"non functional"
"418",46606,"non functional"
"419",18461,"functional"
"420",15256,"non functional"
"421",625,"functional"
"422",42122,"functional"
"423",18277,"functional needs repair"
"424",68501,"functional"
"425",8816,"functional needs repair"
"426",62879,"functional"
"427",18554,"functional"
"428",27712,"functional"
"429",46935,"non functional"
"430",57804,NA
"431",57711,"functional"
"432",5516,"non functional"
"433",8305,"functional"
"434",57410,"non functional"
"435",51412,"non functional"
"436",25863,"functional"
"437",35994,"functional"
"438",55279,"non functional"
"439",74102,"functional"
"440",38277,"functional"
"441",1998,"functional"
"442",52056,"non functional"
"443",63679,"functional"
"444",71762,"non functional"
"445",71432,"functional"
"446",45592,"functional"
"447",13663,"non functional"
"448",62227,"non functional"
"449",3730,"functional"
"450",2451,"functional"
"451",46418,NA
"452",45996,"non functional"
"453",60911,"non functional"
"454",46089,"functional"
"455",65579,"non functional"
"456",40407,"non functional"
"457",66663,"functional"
"458",26597,"non functional"
"459",50540,"functional"
"460",58133,"non functional"
"461",1493,"functional"
"462",31503,"non functional"
"463",17910,"functional"
"464",19466,"functional"
"465",38120,"non functional"
"466",66553,"functional"
"467",31696,"functional"
"468",51318,"non functional"
"469",33584,"non functional"
"470",48678,"functional"
"471",36112,"non functional"
"472",6294,"functional"
"473",40612,"non functional"
"474",62793,"functional"
"475",58090,"non functional"
"476",2532,"non functional"
"477",38865,"non functional"
"478",35462,"functional"
"479",51709,"functional"
"480",40624,"non functional"
"481",41745,"functional"
"482",42315,"functional"
"483",38952,"non functional"
"484",45540,"non functional"
"485",73833,"functional"
"486",27771,"functional"
"487",9336,"functional"
"488",12545,"functional"
"489",54811,"non functional"
"490",48326,"functional"
"491",31787,"non functional"
"492",61745,"non functional"
"493",42091,"functional"
"494",43727,"functional"
"495",46917,"functional"
"496",26718,"functional"
"497",3138,"functional"
"498",72932,"functional"
"499",25707,"non functional"
"500",68580,"non functional"
"501",25064,"functional"
"502",7624,"non functional"
"503",3830,"non functional"
"504",13458,"functional"
"505",57377,"functional"
"506",37294,"functional"
"507",39561,"functional"
"508",23237,"functional"
"509",72484,"non functional"
"510",56490,"functional"
"511",13706,"non functional"
"512",43035,"functional"
"513",14084,"functional"
"514",55875,"functional"
"515",17299,"functional"
"516",1793,"functional"
"517",70943,"functional"
"518",65720,"functional"
"519",49165,"functional"
"520",18879,"functional"
"521",3574,"non functional"
"522",56735,"functional"
"523",45481,"functional"
"524",51772,"non functional"
"525",74095,"functional"
"526",54000,"functional"
"527",34834,"functional"
"528",50175,"functional"
"529",35733,"functional"
"530",6808,"non functional"
"531",27311,"functional"
"532",73303,"non functional"
"533",70335,"non functional"
"534",2691,"non functional"
"535",12582,"functional needs repair"
"536",49536,"non functional"
"537",23715,"non functional"
"538",45445,"functional"
"539",52609,"functional"
"540",35087,"functional"
"541",42767,"functional"
"542",24373,"functional"
"543",32895,"non functional"
"544",9328,"non functional"
"545",23275,"non functional"
"546",20054,"non functional"
"547",8378,"functional"
"548",47432,"functional"
"549",49863,"functional"
"550",57828,"functional"
"551",31169,"functional"
"552",38382,"functional"
"553",31205,"functional"
"554",23528,NA
"555",26507,"non functional"
"556",67091,"non functional"
"557",47734,"functional"
"558",927,"functional"
"559",48521,NA
"560",16963,"functional"
"561",48233,"functional"
"562",58989,"non functional"
"563",2399,"functional"
"564",23530,"functional"
"565",46271,"non functional"
"566",71726,"non functional"
"567",23526,"functional needs repair"
"568",49861,"non functional"
"569",22619,"non functional"
"570",41264,"non functional"
"571",20623,"functional"
"572",35694,"functional"
"573",68210,"non functional"
"574",13446,"functional"
"575",11321,"functional needs repair"
"576",56312,"functional"
"577",19533,"functional"
"578",7275,"functional"
"579",48614,"functional"
"580",65873,"functional"
"581",9008,"functional"
"582",36817,"functional"
"583",25767,"non functional"
"584",38460,"non functional"
"585",16756,"non functional"
"586",13310,"functional"
"587",36514,"functional"
"588",57548,"functional"
"589",2809,"functional"
"590",70632,"functional"
"591",17260,"functional"
"592",27950,"functional"
"593",40629,"non functional"
"594",64155,"functional"
"595",50640,"non functional"
"596",67355,"functional"
"597",32132,"non functional"
"598",70868,"functional"
"599",45823,"non functional"
"600",19985,"functional"
"601",61834,"non functional"
"602",54171,"non functional"
"603",62763,"functional"
"604",42408,"functional"
"605",13151,"functional"
"606",28311,"functional"
"607",57775,"functional"
"608",37603,"non functional"
"609",56357,"non functional"
"610",37845,"functional"
"611",57177,"non functional"
"612",12821,"functional"
"613",8193,"functional"
"614",49031,"functional"
"615",14011,"non functional"
"616",33708,"functional"
"617",68898,"non functional"
"618",37198,"functional"
"619",11151,"functional"
"620",22264,"functional"
"621",49694,"functional"
"622",47318,"non functional"
"623",46108,"functional"
"624",28297,"non functional"
"625",36340,"functional"
"626",26987,"non functional"
"627",5766,"functional"
"628",25979,"non functional"
"629",73021,"functional"
"630",11908,"functional"
"631",47496,"functional"
"632",61777,"functional"
"633",47591,"functional"
"634",8968,"functional"
"635",45656,"functional"
"636",39630,"functional"
"637",2786,"non functional"
"638",958,"functional"
"639",55843,"functional"
"640",52074,"functional"
"641",23422,"functional"
"642",55802,"functional"
"643",61634,"functional"
"644",1625,"functional"
"645",37398,"functional"
"646",51011,"functional"
"647",49595,"functional"
"648",22486,"non functional"
"649",22916,"functional"
"650",45204,"non functional"
"651",74223,"functional"
"652",35533,"functional"
"653",30595,"functional"
"654",47319,"non functional"
"655",32555,"non functional"
"656",9520,"functional"
"657",53253,"functional"
"658",36436,"non functional"
"659",15036,"functional"
"660",23175,"functional"
"661",41998,"functional"
"662",19345,"non functional"
"663",1198,"non functional"
"664",39848,"functional"
"665",39278,"functional"
"666",39844,"functional"
"667",17332,"functional"
"668",51287,"functional"
"669",49514,"non functional"
"670",64288,"functional"
"671",41782,"non functional"
"672",54572,"functional"
"673",68079,"functional"
"674",68017,"functional needs repair"
"675",66705,"functional"
"676",5274,"functional"
"677",58230,"functional"
"678",51010,"functional"
"679",46242,"functional"
"680",1917,"functional"
"681",9361,"functional"
"682",33043,"non functional"
"683",56633,"non functional"
"684",57518,"functional"
"685",51128,"non functional"
"686",4388,"functional"
"687",62267,"non functional"
"688",72473,"non functional"
"689",70957,"functional"
"690",35399,"functional"
"691",33236,"functional"
"692",73183,"functional"
"693",52939,"functional"
"694",66929,"non functional"
"695",54326,"functional"
"696",16343,"functional"
"697",33013,"functional"
"698",60384,"non functional"
"699",41074,"functional"
"700",71997,"non functional"
"701",35190,"functional"
"702",3425,"functional"
"703",4335,"functional"
"704",7399,"functional"
"705",46431,"functional"
"706",40845,"functional"
"707",27347,"functional"
"708",10981,"functional"
"709",36447,"functional"
"710",67485,"functional"
"711",11220,"functional"
"712",45857,"non functional"
"713",21806,"non functional"
"714",8771,"functional"
"715",45535,"non functional"
"716",8671,"functional"
"717",2252,"non functional"
"718",58078,"non functional"
"719",61068,"non functional"
"720",69204,"non functional"
"721",28326,"non functional"
"722",46930,"functional"
"723",52104,"functional"
"724",31732,"functional"
"725",21584,"non functional"
"726",17045,"functional"
"727",14404,"functional"
"728",34699,"functional"
"729",39930,"non functional"
"730",38744,"functional"
"731",4339,"functional"
"732",54735,"functional"
"733",51916,"functional"
"734",58114,"functional"
"735",28339,"functional needs repair"
"736",52048,"non functional"
"737",66497,"non functional"
"738",18353,"non functional"
"739",16701,"functional"
"740",59499,"non functional"
"741",66042,"non functional"
"742",43965,"functional"
"743",48361,"functional"
"744",70766,"functional"
"745",9510,"non functional"
"746",28586,"functional"
"747",28521,"non functional"
"748",18050,"functional"
"749",73151,"non functional"
"750",45011,"functional"
"751",64380,"functional"
"752",66896,"functional"
"753",40184,"functional"
"754",67207,"functional"
"755",70178,"functional"
"756",54063,"non functional"
"757",39252,"functional"
"758",53773,"functional"
"759",47931,"functional"
"760",44168,"non functional"
"761",66540,"functional"
"762",54089,"non functional"
"763",29244,"functional"
"764",27525,"non functional"
"765",58991,"functional"
"766",18087,"functional"
"767",67803,"non functional"
"768",48006,"functional"
"769",11788,"functional"
"770",16100,"functional"
"771",16382,"functional"
"772",21208,"non functional"
"773",8637,"functional"
"774",67008,"non functional"
"775",67914,"functional"
"776",7041,"non functional"
"777",43181,"non functional"
"778",26191,"non functional"
"779",14766,"functional"
"780",49812,"functional"
"781",12705,"functional"
"782",25422,"non functional"
"783",9399,"non functional"
"784",4239,"functional"
"785",49442,"functional"
"786",32,"functional"
"787",11443,"functional"
"788",15492,"functional"
"789",63498,"functional"
"790",12708,"non functional"
"791",19483,"functional"
"792",31204,"non functional"
"793",33445,"functional"
"794",40820,"functional"
"795",10279,"non functional"
"796",46718,"non functional"
"797",39000,"non functional"
"798",45897,"functional"
"799",62154,"functional"
"800",50034,"functional"
"801",11853,"non functional"
"802",40426,"functional"
"803",41168,"functional"
"804",58978,"functional"
"805",31363,"functional"
"806",32736,"functional"
"807",29058,"functional"
"808",23824,"functional"
"809",61885,"non functional"
"810",59187,"non functional"
"811",73243,"functional"
"812",62915,"functional"
"813",1784,"functional"
"814",65951,"functional"
"815",20661,"functional"
"816",55504,"non functional"
"817",66975,"non functional"
"818",72057,"functional"
"819",49331,"functional"
"820",52682,"non functional"
"821",37859,"functional"
"822",10460,"functional"
"823",12407,"functional"
"824",69993,"functional"
"825",13012,"functional"
"826",70896,"functional"
"827",13264,"functional"
"828",51824,"non functional"
"829",60216,"functional"
"830",57481,"non functional"
"831",3996,"functional"
"832",24854,"functional"
"833",43420,"functional"
"834",70468,"non functional"
"835",38305,"non functional"
"836",57179,"functional"
"837",70388,"non functional"
"838",67589,"functional"
"839",69974,"functional"
"840",8854,"functional"
"841",71663,"functional"
"842",69272,"functional"
"843",49119,"non functional"
"844",15638,"functional"
"845",9086,"functional"
"846",56422,"functional"
"847",39106,"functional"
"848",4515,"functional needs repair"
"849",48594,"non functional"
"850",63779,"functional"
"851",60740,"functional"
"852",61242,"functional"
"853",65001,"functional"
"854",2601,"functional"
"855",52456,"functional"
"856",21873,"non functional"
"857",25505,"non functional"
"858",21890,"non functional"
"859",52336,"non functional"
"860",57756,"functional"
"861",45465,"functional"
"862",4989,"functional"
"863",51585,"functional"
"864",50533,"functional"
"865",54866,"functional"
"866",23793,"functional"
"867",50135,"functional"
"868",26549,"functional"
"869",66920,"functional"
"870",35517,"functional"
"871",390,"non functional"
"872",13645,"functional"
"873",39327,"non functional"
"874",58900,"functional"
"875",2100,"functional"
"876",31521,"non functional"
"877",277,"functional"
"878",33937,"functional"
"879",42545,"functional"
"880",7614,"functional"
"881",46861,"functional"
"882",35278,"non functional"
"883",71773,"functional needs repair"
"884",52392,"functional"
"885",47229,"functional"
"886",10716,"non functional"
"887",13923,"functional"
"888",42206,"non functional"
"889",965,"functional"
"890",66646,"functional"
"891",17301,"functional"
"892",21533,"functional needs repair"
"893",37797,"non functional"
"894",19241,"non functional"
"895",15296,"non functional"
"896",41472,"functional"
"897",73859,"functional"
"898",20153,"functional"
"899",71684,"functional"
"900",8321,"functional"
"901",68979,"functional"
"902",48850,"functional"
"903",64251,"functional"
"904",3583,"functional"
"905",33326,"non functional"
"906",8500,"functional"
"907",67047,"functional"
"908",24896,"functional"
"909",39527,"functional"
"910",3089,"non functional"
"911",66477,"functional"
"912",24107,"functional"
"913",7823,"functional"
"914",32016,"functional"
"915",35048,"non functional"
"916",70580,"non functional"
"917",47503,"functional"
"918",37357,"functional"
"919",1195,"non functional"
"920",52309,"functional"
"921",19655,"functional"
"922",39455,"functional"
"923",52757,"non functional"
"924",62729,"non functional"
"925",24324,"functional"
"926",51298,"non functional"
"927",17127,"non functional"
"928",28152,"functional"
"929",14259,"non functional"
"930",47461,"functional"
"931",65878,"non functional"
"932",58913,"functional"
"933",70035,"non functional"
"934",37446,"non functional"
"935",30337,"functional"
"936",57584,"non functional"
"937",67193,"functional"
"938",62103,"functional"
"939",22896,"functional"
"940",5934,"non functional"
"941",61722,"functional"
"942",9299,"functional"
"943",68558,"non functional"
"944",51165,"functional"
"945",8657,"non functional"
"946",54952,"functional"
"947",53160,"functional"
"948",17393,"functional"
"949",33016,"functional"
"950",25929,"non functional"
"951",41102,"functional"
"952",11093,"non functional"
"953",52744,"functional"
"954",23484,"non functional"
"955",13139,"functional"
"956",55439,NA
"957",41539,"functional"
"958",47692,"non functional"
"959",60165,"functional"
"960",64683,"functional"
"961",7089,"functional"
"962",13516,"functional"
"963",47720,"functional"
"964",22588,"non functional"
"965",28580,NA
"966",9075,"functional"
"967",25066,"non functional"
"968",28284,"functional"
"969",67568,"functional"
"970",64823,"functional"
"971",8243,"functional needs repair"
"972",2556,"functional"
"973",58746,"functional"
"974",18288,"functional"
"975",72822,"functional"
"976",5178,"non functional"
"977",66294,"functional"
"978",14451,"functional"
"979",48600,"functional"
"980",27513,"functional"
"981",36889,"functional"
"982",663,"non functional"
"983",10646,NA
"984",35103,"functional"
"985",50804,"functional"
"986",29635,"functional"
"987",47604,"functional"
"988",49844,"functional needs repair"
"989",69068,"functional"
"990",43074,"functional"
"991",71088,"non functional"
"992",40470,"functional"
"993",21920,"non functional"
"994",51415,"functional"
"995",15480,"non functional"
"996",21881,"functional"
"997",7780,"functional"
"998",24908,"functional"
"999",53915,"functional"
"1000",54560,"functional"
"1001",15498,"functional"
"1002",20446,"functional"
"1003",5886,"non functional"
"1004",52883,NA
"1005",30892,"functional"
"1006",37432,"non functional"
"1007",42574,"functional"
"1008",61505,"functional"
"1009",44827,"non functional"
"1010",5951,"functional"
"1011",48991,"functional"
"1012",22821,"functional"
"1013",46478,"functional"
"1014",19831,"functional"
"1015",49317,"functional"
"1016",18472,"non functional"
"1017",58686,"functional"
"1018",47419,"non functional"
"1019",44921,"functional"
"1020",55024,"non functional"
"1021",28971,"non functional"
"1022",8108,"functional"
"1023",32182,"functional"
"1024",40513,"non functional"
"1025",372,"non functional"
"1026",49297,"functional"
"1027",24407,"non functional"
"1028",44874,"functional"
"1029",25119,"functional"
"1030",3882,"non functional"
"1031",73443,"functional"
"1032",56056,"functional"
"1033",22035,"non functional"
"1034",46318,"functional"
"1035",20802,"functional"
"1036",41941,"non functional"
"1037",12044,"functional"
"1038",47262,"functional needs repair"
"1039",19337,"functional needs repair"
"1040",38688,"non functional"
"1041",45341,"functional"
"1042",55661,"functional"
"1043",32322,"functional"
"1044",41912,"non functional"
"1045",26136,"non functional"
"1046",13480,"functional"
"1047",62035,"functional"
"1048",50343,"non functional"
"1049",68537,"functional"
"1050",52293,"functional"
"1051",17764,"functional"
"1052",67862,"non functional"
"1053",38933,"non functional"
"1054",68514,"non functional"
"1055",65335,"non functional"
"1056",27469,"functional"
"1057",31290,"non functional"
"1058",72594,"functional"
"1059",2854,"functional"
"1060",19679,"non functional"
"1061",46470,"functional"
"1062",9931,"non functional"
"1063",39214,"functional"
"1064",3982,"functional"
"1065",29633,"functional"
"1066",50872,"functional"
"1067",31969,"functional"
"1068",51280,"non functional"
"1069",63438,"non functional"
"1070",52302,"non functional"
"1071",44486,"functional"
"1072",4641,"non functional"
"1073",47724,"functional"
"1074",4393,"functional"
"1075",54938,"functional"
"1076",66983,"non functional"
"1077",55870,"non functional"
"1078",62561,"non functional"
"1079",7975,"non functional"
"1080",9418,"non functional"
"1081",4929,"functional"
"1082",68311,"non functional"
"1083",15225,"non functional"
"1084",51854,"functional"
"1085",40247,"functional"
"1086",37958,"functional needs repair"
"1087",19319,"functional"
"1088",27495,"functional"
"1089",20111,"functional"
"1090",33231,"functional"
"1091",44772,"functional"
"1092",53237,"functional"
"1093",23279,"non functional"
"1094",66738,"non functional"
"1095",73053,"functional"
"1096",31190,"functional"
"1097",54820,"functional"
"1098",54173,"functional"
"1099",40904,"functional"
"1100",43729,"functional"
"1101",63132,"functional"
"1102",65274,"non functional"
"1103",2012,"non functional"
"1104",70647,"functional"
"1105",6067,"functional"
"1106",47835,"non functional"
"1107",14510,"functional"
"1108",34536,"functional"
"1109",50168,"functional"
"1110",65018,"functional"
"1111",4960,"functional"
"1112",19291,"functional"
"1113",11480,"non functional"
"1114",74179,"functional"
"1115",46276,"functional"
"1116",69469,"functional"
"1117",51844,"non functional"
"1118",13340,"functional"
"1119",34046,"functional needs repair"
"1120",72429,"non functional"
"1121",60034,"functional"
"1122",36173,"functional"
"1123",66575,"functional"
"1124",33778,"non functional"
"1125",52807,"functional"
"1126",37283,"non functional"
"1127",53688,"functional"
"1128",54777,"non functional"
"1129",10363,"non functional"
"1130",42685,"functional"
"1131",29334,"functional"
"1132",17320,"functional"
"1133",7060,NA
"1134",3905,"non functional"
"1135",14607,"functional"
"1136",59091,"functional"
"1137",44927,NA
"1138",59415,"functional"
"1139",59722,"functional"
"1140",49411,"non functional"
"1141",40903,"functional"
"1142",64786,"non functional"
"1143",36207,"non functional"
"1144",61178,"functional"
"1145",55377,"functional"
"1146",34300,"functional"
"1147",29483,"non functional"
"1148",58576,"non functional"
"1149",37659,"functional"
"1150",63873,"functional"
"1151",55723,"functional"
"1152",9950,"functional"
"1153",49680,"functional"
"1154",30329,"non functional"
"1155",64912,"functional"
"1156",21165,"functional"
"1157",42112,"functional"
"1158",25108,"functional"
"1159",55021,"functional"
"1160",14319,"functional"
"1161",23587,"functional"
"1162",27217,"non functional"
"1163",62333,"functional"
"1164",3284,"functional"
"1165",38299,"functional"
"1166",35668,"non functional"
"1167",10228,"functional"
"1168",67801,"non functional"
"1169",63324,"functional"
"1170",33451,"functional"
"1171",46306,"functional"
"1172",37149,"functional"
"1173",29770,"non functional"
"1174",14731,"functional"
"1175",7963,"functional"
"1176",55945,"non functional"
"1177",7645,"non functional"
"1178",7244,"non functional"
"1179",40114,"functional"
"1180",37615,"functional"
"1181",54151,"non functional"
"1182",64712,"functional"
"1183",40499,"non functional"
"1184",71171,"non functional"
"1185",20712,"functional"
"1186",20187,"functional"
"1187",12383,"non functional"
"1188",33364,"functional"
"1189",9646,"functional"
"1190",12201,"non functional"
"1191",1782,"non functional"
"1192",42747,"functional"
"1193",12125,"functional"
"1194",53260,"functional"
"1195",55023,"functional"
"1196",7865,"functional"
"1197",66269,"non functional"
"1198",45049,"functional"
"1199",4988,"functional"
"1200",17387,"non functional"
"1201",41771,"functional"
"1202",44806,"functional"
"1203",9157,"non functional"
"1204",70881,"functional"
"1205",59951,"functional"
"1206",47581,"non functional"
"1207",14986,"functional"
"1208",71499,"non functional"
"1209",32928,"non functional"
"1210",11934,"functional"
"1211",54065,"functional"
